,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
BaTiO3,mp-5020,45.86622308333333,3.8175,516300.649,515137.501,516300.649
Na2TiGeO5,mp-6228,10.00804019,5.328,520337.938,519024.128,520337.938
K2Ti2O5,mp-28075,11.518928593333332,4.923299999999999,521000.169,518261.406,521000.169
Na4Ti5O12,mp-555678,52.56562631,4.1197,521965.161,517058.265,521965.161
Sr2TiO4,mp-5532,48.46322133,3.5138,522704.217,521648.773,522704.217
Na2Ti3O7,mp-3488,22.020098873333332,4.7165,523964.582,515371.871,523964.582
CaTiSiO5,mp-6109,52.26648290333334,4.6569,525278.711,509525.392,525278.711
Sr3Ti2O7,mp-3349,91.54262125,3.3635,526019.7849999999,529646.569,529646.569
Na2Ti6O13,mp-5449,31.86147365,4.5864,535067.56,515832.929,535067.56
Ba8Ce3(SbO6)4,mp-561045,21.17984136,3.9364,535847.017,511434.303,535847.017
MgTi2O5,mp-28232,23.67141811,4.3697,537088.852,535470.254,537088.852
Ca3(BO3)2,mp-3575,10.043954933333334,6.8282,537771.13,535362.0109999999,537771.13
KLaTiO4,mp-1211901,18.65248845,4.037699999999999,538132.152,531292.896,538132.152
CaO,mp-2605,14.67328343,5.4199,544509.853,544692.038,544692.038
K2Ti6O13,mp-8065,33.55797369333333,4.4815000000000005,545066.287,528826.46,545066.287
Ba2TiO4,mp-3397,12.630299886666666,5.7516,546696.1780000001,533530.0970000001,546696.1780000001
BaTi2O5,mp-558159,18.669302636666668,4.4139,547158.5109999999,539015.425,547158.5109999999
La2MoO6,mp-19300,14.972536173333337,3.860499999999999,548295.283,497624.477,548295.283
Ca2GeO4,mp-560647,8.03546431,5.4502,551283.415,545356.986,551283.415
HfSiO4,mp-4609,11.429535173333331,7.2766,556824.088,556459.497,556824.088
Ca2SiO4,mp-4481,7.789098563333333,5.987699999999999,557289.502,550857.718,557289.502
CaYBO4,mp-1213894,9.913840176666666,6.1098,559105.203,557511.455,559105.203
Ca2B2O5,mp-1019560,7.435814153333333,6.5816,559321.061,551662.7409999999,559321.061
Rb2Ti6O13,mp-540784,33.248603413333335,4.387899999999999,559922.996,538191.948,559922.996
TaBO4,mp-4624,14.016480003333331,5.2371,560709.401,561287.279,561287.279
Ca4Al6CrO16,mp-1227669,6.57525201,4.2024,561512.669,554354.015,561512.669
SrTiGeO5,mp-559957,29.229149476666663,4.475,562049.876,537058.4299999999,562049.876
Ca4YB3O10,mp-1214020,9.815825716666666,6.3113,563563.907,550195.594,563563.907
NaCaVO4,mp-19302,9.907626666666667,5.0661,564455.24,562707.268,564455.24
Sr4Ti5(Si2O11)2,mp-558553,21.264234206666668,3.4878,565340.657,547470.0079999999,565340.657
Ba2InSbO6,mp-1206536,18.3683786,2.4883,566633.158,566192.007,566633.158
Ba3NaNbO6,mp-8960,19.28165299,4.6262,566671.189,562440.221,566671.189
Ba4Li(SbO4)3,mp-7971,24.71076091,3.2659,569297.005,568656.22,569297.005
CaMg(SiO3)2,mp-6766,8.094570983333334,6.953600000000001,569925.973,565427.501,569925.973
RbNaTiO3,mp-556185,9.863553143333332,5.262700000000001,571006.053,567262.17,571006.053
CaMgSiO4,mp-6493,7.322632556666667,6.4897,571128.674,567416.153,571128.674
LaSbO4,mp-1190427,14.159777756666667,4.7913,575215.128,568760.311,575215.128
RbTiNbO5,mp-1219566,10.45257615,4.2974,576112.92,576116.473,576116.473
NaTi2Al5O12,mp-560591,20.32449257333333,4.4277,576367.039,561668.092,576367.039
