,mp_id,diel,gap,diel_completed_at,gap_completed_at,completed_at
Cd2SiO4,mp-4530,10.48613706,3.221,337215.031,350702.362,350702.362
RbAuO2,mp-7472,5.884419413,3.2813,349420.128,350805.692,350805.692
TiNb6Tl2O18,mp-1216944,62.56939241,3.8936,351901.427,325091.735,351901.427
CsPO3,mp-1213226,5.45070925,7.1745,354573.262,351733.867,354573.262
TiTl2(TeO4)3,mp-1216797,26.85808146,3.0246,355680.088,347265.182,355680.088
Li2CaGeO4,mp-7611,9.555619387,6.1871,355988.595,354874.685,355988.595
LiGeRhO4,mp-1222349,10.03048728,3.72,353192.367,356713.864,356713.864
CsPPbO4,mp-1192530,9.676815677,5.2659,359230.994,356304.799,359230.994
CsPPbS4,mp-562569,12.9552676,3.4672,360538.706,355632.018,360538.706
CsPPbSe4,mp-1193277,11.58340497,2.4547,362019.135,353599.749,362019.135
NaHgPO4,mp-8153,10.49046433,3.3742,361414.356,362119.778,362119.778
CsOsNO3,mp-561383,5.154745497,4.1118,363550.825,358970.506,363550.825
CsNaSe,mp-8658,7.07621793,3.1375,364805.557,364881.762,364881.762
CsNaS,mp-6973,8.53157506,3.655,365435.371,365507.571,365507.571
Li2B2Se5,mp-30100,10.20684839,2.4711,366623.416,364558.546,366623.416
Li2BeSiO4,mp-8070,6.326476553,8.0329,366793.067,361130.728,366793.067
Li2TeS3,mp-558731,19.27797541,1.3539,365162.489,366886.546,366886.546
Li(ZrS2)2,mp-1222722,46.1438695,0.0,367505.701,367349.832,367505.701
RbAgTeS3,mp-1209320,10.3274994,2.5973,369037.317,365827.195,369037.317
Li14P2(N2O)3,mp-1020011,9.45231615,5.229,369529.708,367510.265,369529.708
Li2(TaS2)3,mp-755664,20.7344851,0.0,370272.806,366539.847,370272.806
Li2S,mp-1153,7.21176089,4.3386,370500.612,371050.308,371050.308
Li2TeO3,mp-27231,6.470324433,4.6604,371490.139,365633.401,371490.139
LaZnPO,mp-7060,23.34192595,1.4139,371797.584,371678.763,371797.584
NaLa(SO4)2,mp-557840,9.69659344,7.7475,371991.77,359730.193,371991.77
LaZnSbO,mp-12515,31.6408013,0.6258,370424.754,372160.449,372160.449
CsNa2BO3,mp-8871,7.147608097,5.2363,374195.832,373876.85,374195.832
Li2Si2O5,mp-4117,5.131361287,7.0446,374443.839,371313.442,374443.839
NaLa(SeO3)2,mp-559903,11.1589257,5.0122,374729.539,353629.41,374729.539
LiBiO2,mp-1540429,23.14272651,3.1226,375047.911,374887.018,375047.911
Na3BO3,mp-30975,5.888546103,4.7804,381314.275,375365.787,381314.275
Sr3BPO3,mp-9702,12.00790086,2.989,382118.544,379923.002,382118.544
NaBiO3,mp-23054,9.817095527,2.4941,381790.86,382414.22,382414.22
NaBiSe2,mp-1221101,34.20823416,1.8134,380917.949,383843.992,383843.992
CsNbO3,mp-27556,10.96524526,4.8856,384099.473,369364.054,384099.473
Rb5Au3O2,mp-29920,10.05567843,1.9448,387839.151,383688.833,387839.151
NaBiO2,mp-22984,18.7475647,1.6988,388842.469,389041.152,389041.152
LiBi(PO3)4,mp-504354,9.753042473,6.8595,391477.673,383380.661,391477.673
Ag3AsS4,mp-9538,12.89922946,1.3817,395441.546,392441.344,395441.546
CaZn2(PO4)2,mp-18308,7.193701517,5.8614,396250.198,379363.962,396250.198
NaBi2AuO5,mp-557498,58.94215004,1.9772,397829.396,391364.884,397829.396
CsK5Zn4Sn5S17,mp-641018,8.136030697,2.7879,397848.688,392895.091,397848.688
NaLa(MoO4)2,mp-1220757,12.70122798,4.9588,398318.353,390161.637,398318.353
CsK2Sc(PO4)2,mp-8564,10.41954784,6.232,398934.554,398569.991,398934.554
NaAlO2,mp-9212,5.560387773,5.6625,401694.234,401101.343,401694.234
NaAuSe2,mp-29139,12.50978042,1.7117,402202.67,399691.962,402202.67
CsLiZnS2,mp-1225887,8.9188923,3.9202,409703.381,408802.744,409703.381
CsLa(PO3)4,mp-559234,6.34624988,7.163,410179.07,391178.285,410179.07
CsMgPO4,mp-18329,6.159870547,6.321,410668.577,407157.075,410668.577
